T [days],rivier,kruin,binnenteen,polder
0.0,0.0,0.0,0.0,0
0.020833333333333332,0.15,0.173,0.091,0
0.041666666666666664,0.16,0.177,0.091,0
0.0625,0.187,0.182,0.089,0
0.08333333333333333,0.197,0.185,0.085,0
0.10416666666666667,0.19,0.185,0.087,0
0.125,0.207,0.192,0.085,0
0.14583333333333334,0.23,0.197,0.085,0
0.16666666666666666,0.237,0.203,0.085,0
0.1875,0.227,0.198,0.085,0
0.20833333333333334,0.2,0.195,0.084,0
0.22916666666666666,0.173,0.184,0.084,0
0.25,0.14,0.175,0.084,0
0.2708333333333333,0.1,0.161,0.081,0
0.2916666666666667,0.057,0.145,0.079,0
0.3125,0.013,0.129,0.075,0
0.3333333333333333,-0.023,0.114,0.071,0
0.3541666666666667,-0.06,0.101,0.069,0
0.375,-0.1,0.084,0.065,0
0.3958333333333333,-0.13,0.07,0.061,0
0.4166666666666667,-0.153,0.059,0.057,0
0.4375,-0.157,0.052,0.052,0
0.4583333333333333,-0.097,0.059,0.049,0
0.4791666666666667,-0.09,0.063,0.048,0
0.5,-0.093,0.064,0.043,0
0.5208333333333334,-0.09,0.064,0.039,0
0.5416666666666666,-0.07,0.067,0.032,0
0.5625,-0.033,0.075,0.03,0
0.5833333333333334,0.01,0.087,0.027,0
0.6041666666666666,0.06,0.104,0.026,0
0.625,0.107,0.123,0.027,0
0.6458333333333334,0.12,0.13,0.026,0
0.6666666666666666,0.137,0.137,0.029,0
0.6875,0.147,0.142,0.027,0
0.7083333333333334,0.15,0.147,0.027,0
0.7291666666666666,0.137,0.147,0.036,0
0.75,0.113,0.14,0.035,0
0.7708333333333334,0.09,0.133,0.038,0
0.7916666666666666,0.05,0.121,0.039,0
0.8125,0.01,0.108,0.035,0
0.8333333333333334,-0.03,0.094,0.036,0
0.8541666666666666,-0.07,0.078,0.034,0
0.875,-0.103,0.065,0.03,0
0.8958333333333334,-0.14,0.052,0.03,0
0.9166666666666666,-0.17,0.039,0.026,0
0.9375,-0.187,0.029,0.022,0
0.9583333333333334,-0.187,0.024,0.023,0
0.9791666666666666,-0.137,0.034,0.019,0
1.0,-0.14,0.034,0.014,0
1.0208333333333333,-0.117,0.034,0.012,0
1.0416666666666667,-0.117,0.035,0.01,0
1.0625,-0.07,0.039,0.01,0
1.0833333333333333,-0.06,0.049,0.011,0
1.1041666666666667,-0.02,0.062,0.011,0
1.125,0.037,0.083,0.012,0
1.1458333333333333,0.107,0.105,0.011,0
1.1666666666666667,0.17,0.13,0.017,0
1.1875,0.183,0.141,0.016,0
1.2083333333333333,0.207,0.152,0.018,0
1.2291666666666667,0.227,0.161,0.022,0
1.25,0.24,0.172,0.027,0
1.2708333333333333,0.237,0.173,0.028,0
1.2916666666666667,0.21,0.166,0.032,0
1.3125,0.18,0.161,0.033,0
1.3333333333333333,0.15,0.153,0.034,0
1.3541666666666667,0.12,0.143,0.035,0
1.375,0.09,0.132,0.036,0
1.3958333333333333,0.053,0.121,0.032,0
1.4166666666666667,0.02,0.107,0.032,0
1.4375,-0.017,0.095,0.03,0
1.4583333333333333,-0.04,0.084,0.029,0
1.4791666666666667,-0.057,0.075,0.027,0
1.5,-0.06,0.069,0.023,0
1.5208333333333333,-0.027,0.072,0.018,0
1.5416666666666667,-0.02,0.079,0.016,0
1.5625,-0.02,0.075,0.015,0
1.5833333333333333,-0.02,0.075,0.014,0
1.6041666666666667,-0.01,0.077,0.011,0
1.625,0.017,0.082,0.009,0
1.6458333333333333,0.053,0.094,0.008,0
1.6666666666666667,0.093,0.109,0.012,0
1.6875,0.11,0.114,0.01,0
1.7083333333333333,0.14,0.127,0.015,0
1.7291666666666667,0.16,0.133,0.016,0
1.75,0.173,0.14,0.017,0
1.7708333333333333,0.17,0.147,0.019,0
